Name,Team,Price,L01,L02,L03,L04,L05,LastScore,SeasonAvg,Last3Avg,Last5Avg
Conrad Williams,FRE,123900,0,0,0,0,0,0,0,0,0
Cooper Hamilton,GWS,178800,0,0,0,0,0,0,0,0,0
Cooper Harvey,NTH,156500,0,0,0,0,0,0,0,0,0
Cooper Sharman,STK,284300,0,0,0,0,0,0,0,0,0
Cooper Simpson,FRE,117300,0,0,0,0,0,0,0,0,0
Cooper Stephens,HAW,123900,0,0,0,0,0,0,0,0,0
Cooper Vickery,SYD,123900,0,0,0,0,0,0,0,0,0
Corey Durdin,CAR,294200,0,0,0,0,0,0,0,0,0
Corey Wagner,FRE,410500,0,0,0,0,0,0,0,0,0
Corey Warner,SYD,123900,0,0,0,0,0,0,0,0,0
Curtis Taylor,NTH,325200,0,0,0,0,0,0,0,0,0
Dan Butler,STK,323400,0,0,0,0,0,0,0,0,0
Dan Houston,PTA,593100,0,0,0,0,0,0,0,0,0
Dane Rampe,SYD,417600,83,0,0,0,0,83,83,83,83
Daniel Curtin,ADE,175800,0,0,0,0,0,0,0,0,0
Daniel McStay,COLL,327400,0,0,0,0,0,0,0,0,0
Daniel Rioli,RI,485700,68,0,0,0,0,68,68,68,68
Daniel Turner,MEL,191700,0,0,0,0,0,0,0,0,0
Dante Visentini,PTA,143100,0,0,0,0,0,0,0,0,0
Darcy Byrne-Jones,PTA,389900,0,0,0,0,0,0,0,0,0
Darcy Cameron,COLL,515200,133,0,0,0,0,133,133,133,133
Darcy Fogarty,ADE,380600,0,0,0,0,0,0,0,0,0
Darcy Fort,BRL,272300,0,0,0,0,0,0,0,0,0
Darcy Gardiner,BRL,187800,57,0,0,0,0,57,57,57,57
Darcy Jones,GWS,123900,0,0,0,0,0,0,0,0,0
Darcy Macpherson,GCS,398500,15,0,0,0,0,15,15,15,15
Darcy Moore,COLL,505900,75,0,0,0,0,75,75,75,75
Darcy Parish,ESS,604200,0,0,0,0,0,0,0,0,0
Darcy Tucker,NTH,346500,0,0,0,0,0,0,0,0,0
Darcy Wilmot,BRL,397300,76,0,0,0,0,76,76,76,76
Darcy Wilson,STK,130800,0,0,0,0,0,0,0,0,0
Darragh Joyce,BRL,227400,0,0,0,0,0,0,0,0,0
David Cuningham,CAR,347600,74,0,0,0,0,74,74,74,74
David Swallow,GCS,421600,57,0,0,0,0,57,57,57,57
Dayne Zorko,BRL,480600,105,0,0,0,0,105,105,105,105
Denver Grainger-Barras,HAW,137200,0,0,0,0,0,0,0,0,0
Deven Robertson,BRL,253600,0,0,0,0,0,0,0,0,0
Dion Prestia,RI,454100,96,0,0,0,0,96,96,96,96
Dom Sheed,WCE,471300,0,0,0,0,0,0,0,0,0
Domanic Akuei,CAR,123900,0,0,0,0,0,0,0,0,0
Dominic Bedendo,WBD,123900,0,0,0,0,0,0,0,0,0
Dougal Howard,STK,376600,0,0,0,0,0,0,0,0,0
Dustin Martin,RI,527300,0,0,0,0,0,0,0,0,0
Dylan Grimes,RI,273300,34,0,0,0,0,34,34,34,34
Dylan Moore,HAW,508600,0,0,0,0,0,0,0,0,0
Dylan Shiel,ESS,388000,0,0,0,0,0,0,0,0,0
Dylan Stephens,NTH,324100,0,0,0,0,0,0,0,0,0
Dylan Williams,PTA,372500,0,0,0,0,0,0,0,0,0
Dyson Heppell,ESS,449600,0,0,0,0,0,0,0,0,0
Ed Langdon,MEL,405100,67,0,0,0,0,67,67,67,67
Ed Richards,WBD,481800,0,0,0,0,0,0,0,0,0
Eddie Ford,NTH,352900,0,0,0,0,0,0,0,0,0
Edward Allan,COLL,123900,0,0,0,0,0,0,0,0,0
Elijah Hewett,WCE,254700,0,0,0,0,0,0,0,0,0
Elijah Hollands,CAR,276300,0,0,0,0,0,0,0,0,0
Elijah Tsatas,ESS,245900,0,0,0,0,0,0,0,0,0
Elliot Yeo,WCE,447100,0,0,0,0,0,0,0,0,0
Elliott Himmelberg,ADE,234000,0,0,0,0,0,0,0,0,0
Emerson Jeka,GEE,123900,0,0,0,0,0,0,0,0,0
Eric Hipwood,BRL,348900,51,0,0,0,0,51,51,51,51
Errol Gulden,SYD,622100,77,0,0,0,0,77,77,77,77
Esava Ratugolea,PTA,311900,0,0,0,0,0,0,0,0,0
Ethan Hughes,FRE,326900,0,0,0,0,0,0,0,0,0
Ethan Read,GCS,171300,0,0,0,0,0,0,0,0,0
Ethan Stanley,FRE,123900,0,0,0,0,0,0,0,0,0
Finlay Macrae,COLL,152600,0,0,0,0,0,0,0,0,0
Finn Callaghan,GWS,408600,0,0,0,0,0,0,0,0,0
Finn Maginness,HAW,210700,0,0,0,0,0,0,0,0,0
Finnbar Maley,NTH,102400,0,0,0,0,0,0,0,0,0
Francis Evans,PTA,239800,0,0,0,0,0,0,0,0,0
Gary Rohan,GEE,343100,0,0,0,0,0,0,0,0,0
George Hewett,CAR,440000,106,0,0,0,0,106,106,106,106
George Stevens,GEE,117300,0,0,0,0,0,0,0,0,0
George Wardlaw,NTH,365400,0,0,0,0,0,0,0,0,0
Griffin Logue,NTH,371800,0,0,0,0,0,0,0,0,0
Gryan Miers,GEE,451500,0,0,0,0,0,0,0,0,0
Hamish Free,NTH,123900,0,0,0,0,0,0,0,0,0
Harley Reid,WCE,207300,0,0,0,0,0,0,0,0,0
Harris Andrews,BRL,497900,118,0,0,0,0,118,118,118,118
Harrison Arnold,SYD,123900,0,0,0,0,0,0,0,0,0
Harrison Jones,ESS,244500,0,0,0,0,0,0,0,0,0
Harrison Petty,MEL,338900,0,0,0,0,0,0,0,0,0
Harry Barnett,WCE,123900,0,0,0,0,0,0,0,0,0
Harry Cunningham,SYD,334800,86,0,0,0,0,86,86,86,86
Harry DeMattia,COLL,117300,0,0,0,0,0,0,0,0,0
Harry Edwards,WCE,196700,0,0,0,0,0,0,0,0,0
Harry Himmelberg,GWS,450400,101,0,0,0,0,101,101,101,101
Harry Lemmey,CAR,123900,0,0,0,0,0,0,0,0,0
Harry McKay,CAR,398000,130,0,0,0,0,130,130,130,130
Harry Morrison,HAW,371000,0,0,0,0,0,0,0,0,0
Harry Perryman,GWS,411500,0,0,0,0,0,0,0,0,0
Harry Rowston,GWS,166000,0,0,0,0,0,0,0,0,0
Harry Schoenberg,ADE,293700,0,0,0,0,0,0,0,0,0
Harry Sharp,BRL,231000,0,0,0,0,0,0,0,0,0
Harry Sheezel,NTH,556200,0,0,0,0,0,0,0,0,0
Harvey Gallagher,WBD,123900,0,0,0,0,0,0,0,0,0
Harvey Harrison,COLL,180000,0,0,0,0,0,0,0,0,0
Harvey Johnston,WCE,117300,0,0,0,0,0,0,0,0,0
Harvey Thomas,GWS,117300,40,0,0,0,0,40,40,40,40
Hayden McLean,SYD,400500,44,0,0,0,0,44,44,44,44
Hayden Young,FRE,525100,0,0,0,0,0,0,0,0,0
Heath Chapman,FRE,251700,0,0,0,0,0,0,0,0,0
Henry Hustwaite,HAW,184400,0,0,0,0,0,0,0,0,0
Henry Smith,BRL,123900,0,0,0,0,0,0,0,0,0
Hewago Paul Oea,GCS,236800,0,0,0,0,0,0,0,0,0
Hudson O'Keeffe,CAR,123900,0,0,0,0,0,0,0,0,0
Hugh Bond,ADE,123900,0,0,0,0,0,0,0,0,0
Hugh Davies,FRE,123900,0,0,0,0,0,0,0,0,0
Hugh Greenwood,NTH,337300,0,0,0,0,0,0,0,0,0
Hugh Jackson,PTA,123900,0,0,0,0,0,0,0,0,0
Hugh McCluggage,BRL,523800,83,0,0,0,0,83,83,83,83
Hugo Garcia,STK,117300,0,0,0,0,0,0,0,0,0
Hugo Ralphsmith,RI,206400,0,0,0,0,0,0,0,0,0
Hunter Clark,STK,352400,0,0,0,0,0,0,0,0,0
Indhi Kirk,SYD,102400,0,0,0,0,0,0,0,0,0
Isaac Cumming,GWS,387600,0,0,0,0,0,0,0,0,0
Isaac Heeney,SYD,483700,144,0,0,0,0,144,144,144,144
Isaac Keeler,STK,123900,0,0,0,0,0,0,0,0,0
Isaac Quaynor,COLL,417200,82,0,0,0,0,82,82,82,82
Ivan Soldo,PTA,485500,0,0,0,0,0,0,0,0,0
Izak Rankine,ADE,461600,0,0,0,0,0,0,0,0,0
Jack Billings,MEL,243900,11,0,0,0,0,11,11,11,11
Jack Bowes,GEE,341900,0,0,0,0,0,0,0,0,0
Jack Buckley,GWS,440300,49,0,0,0,0,49,49,49,49
Jack Buller,SYD,123900,0,0,0,0,0,0,0,0,0
Jack Carroll,CAR,123900,65,0,0,0,0,65,65,65,65
Jack Crisp,COLL,498600,77,0,0,0,0,77,77,77,77
Jack Darling,WCE,342600,0,0,0,0,0,0,0,0,0
Jack Delean,FRE,117300,0,0,0,0,0,0,0,0,0
Jack Ginnivan,HAW,294200,0,0,0,0,0,0,0,0,0
Jack Graham,RI,370800,0,0,0,0,0,0,0,0,0
Jack Gunston,HAW,297200,0,0,0,0,0,0,0,0,0
Jack Hayes,STK,228000,0,0,0,0,0,0,0,0,0
Jack Henry,GEE,370400,0,0,0,0,0,0,0,0,0
Jack Higgins,STK,372900,0,0,0,0,0,0,0,0,0
Jack Lukosius,GCS,425000,93,0,0,0,0,93,93,93,93
Jack Macrae,WBD,558400,0,0,0,0,0,0,0,0,0
Jack Mahony,GCS,176000,0,0,0,0,0,0,0,0,0
Jack Martin,CAR,332800,0,0,0,0,0,0,0,0,0
Jack O'Sullivan,HAW,123900,0,0,0,0,0,0,0,0,0
Jack Payne,BRL,318600,29,0,0,0,0,29,29,29,29
Jack Petruccelle,WCE,321400,0,0,0,0,0,0,0,0,0
Jack Ross,RI,417400,34,0,0,0,0,34,34,34,34
Jack Scrimshaw,HAW,419500,0,0,0,0,0,0,0,0,0
Jack Silvagni,CAR,384900,0,0,0,0,0,0,0,0,0
Jack Sinclair,STK,596300,0,0,0,0,0,0,0,0,0
Jack Steele,STK,529500,0,0,0,0,0,0,0,0,0
Jack Viney,MEL,559600,138,0,0,0,0,138,138,138,138
Jack Williams,WCE,211300,0,0,0,0,0,0,0,0,0
Jackson Archer,NTH,143100,0,0,0,0,0,0,0,0,0
Jackson Mead,PTA,199800,0,0,0,0,0,0,0,0,0
Jacob Bauer,RI,123900,0,0,0,0,0,0,0,0,0
Jacob Hopper,RI,439400,97,0,0,0,0,97,97,97,97
Jacob Konstanty,SYD,123900,0,0,0,0,0,0,0,0,0
Jacob Koschitzke,RI,325100,23,0,0,0,0,23,23,23,23
Jacob van Rooyen,MEL,363900,34,0,0,0,0,34,34,34,34
Jacob Wehr,GWS,123900,48,0,0,0,0,48,48,48,48
Jacob Weitering,CAR,475500,0,0,0,0,0,0,0,0,0
Jade Gresham,ESS,373200,0,0,0,0,0,0,0,0,0
Jaeger O'Meara,FRE,449200,0,0,0,0,0,0,0,0,0
Jai Culley,WCE,193100,0,0,0,0,0,0,0,0,0
Jai Newcombe,HAW,549200,0,0,0,0,0,0,0,0,0
Jai Serong,HAW,174100,0,0,0,0,0,0,0,0,0
Jaiden Hunter,ESS,123900,0,0,0,0,0,0,0,0,0
Jaiden Magor,SYD,123900,0,0,0,0,0,0,0,0,0
Jaidyn Stephenson,NTH,275400,0,0,0,0,0,0,0,0,0
Jake Bowey,MEL,389400,53,0,0,0,0,53,53,53,53
Jake Kelly,ESS,342200,0,0,0,0,0,0,0,0,0
Jake Kolodjashnij,GEE,326500,0,0,0,0,0,0,0,0,0
Jake Lever,MEL,419700,54,0,0,0,0,54,54,54,54
Jake Lloyd,SYD,535300,70,0,0,0,0,70,70,70,70
Jake Melksham,MEL,245500,0,0,0,0,0,0,0,0,0
Jake Riccardi,GWS,293700,3,0,0,0,0,3,3,3,3
Jake Rogers,GCS,148800,0,0,0,0,0,0,0,0,0
Jake Soligo,ADE,408500,0,0,0,0,0,0,0,0,0
Jake Stringer,ESS,361600,0,0,0,0,0,0,0,0,0
Jake Waterman,WCE,361200,0,0,0,0,0,0,0,0,0
Jakob Ryan,COLL,123900,0,0,0,0,0,0,0,0,0
Jamaine Jones,WCE,382600,0,0,0,0,0,0,0,0,0
Jamarra Ugle-Hagan,WBD,338500,0,0,0,0,0,0,0,0,0
James Aish,FRE,409900,0,0,0,0,0,0,0,0,0
James Blanck,HAW,202300,0,0,0,0,0,0,0,0,0
James Borlase,ADE,260400,0,0,0,0,0,0,0,0,0
James Harmes,WBD,258300,0,0,0,0,0,0,0,0,0
James Jordon,SYD,275500,81,0,0,0,0,81,81,81,81
James Leake,GWS,135300,0,0,0,0,0,0,0,0,0
James Madden,BRL,123900,0,0,0,0,0,0,0,0,0
James O'Donnell,WBD,208600,0,0,0,0,0,0,0,0,0
James Peatling,GWS,274400,0,0,0,0,0,0,0,0,0
James Rowbottom,SYD,467500,94,0,0,0,0,94,94,94,94
James Sicily,HAW,637400,0,0,0,0,0,0,0,0,0
James Trezise,RI,207900,0,0,0,0,0,0,0,0,0
James Tsitas,GCS,123900,0,0,0,0,0,0,0,0,0
James Tunstill,BRL,123900,0,0,0,0,0,0,0,0,0
James Van Es,STK,123900,0,0,0,0,0,0,0,0,0
James Willis,GEE,123900,0,0,0,0,0,0,0,0,0
James Worpel,HAW,502700,0,0,0,0,0,0,0,0,0
Jamie Cripps,WCE,386600,0,0,0,0,0,0,0,0,0
Jamie Elliott,COLL,410400,52,0,0,0,0,52,52,52,52
Jarman Impey,HAW,434700,0,0,0,0,0,0,0,0,0
Jarrod Berry,BRL,427500,44,0,0,0,0,44,44,44,44
Jarrod Witts,GCS,593200,110,0,0,0,0,110,110,110,110
Jarryd Lyons,BRL,258000,106,0,0,0,0,106,106,106,106
Jase Burgoyne,PTA,179700,0,0,0,0,0,0,0,0,0
Jason Horne-Francis,PTA,433900,0,0,0,0,0,0,0,0,0
Jason Johannisen,WBD,416600,0,0,0,0,0,0,0,0,0
Jaspa Fletcher,BRL,288100,43,0,0,0,0,43,43,43,43
Jaxon Binns,CAR,123900,0,0,0,0,0,0,0,0,0
Jaxon Prior,BRL,173500,0,0,0,0,0,0,0,0,0
Jayden Davey,ESS,123900,0,0,0,0,0,0,0,0,0
Jayden Hunt,WCE,426900,0,0,0,0,0,0,0,0,0
Jayden Laverde,ESS,403900,0,0,0,0,0,0,0,0,0
Jayden Short,RI,551200,130,0,0,0,0,130,130,130,130
Jed Adams,MEL,123900,0,0,0,0,0,0,0,0,0
Jed Bews,GEE,250700,0,0,0,0,0,0,0,0,0
Jed McEntee,PTA,253200,0,0,0,0,0,0,0,0,0
Jed Walter,GCS,198300,0,0,0,0,0,0,0,0,0
Jedd Busslinger,WBD,123900,0,0,0,0,0,0,0,0,0
Jeremy Cameron,GEE,462700,0,0,0,0,0,0,0,0,0
Jeremy Finlayson,PTA,475600,0,0,0,0,0,0,0,0,0
Jeremy Howe,COLL,398300,0,0,0,0,0,0,0,0,0
Jeremy McGovern,WCE,470700,0,0,0,0,0,0,0,0,0
Jeremy Sharp,FRE,123900,0,0,0,0,0,0,0,0,0
Jesse Hogan,GWS,419200,113,0,0,0,0,113,113,113,113
Jesse Motlop,CAR,304900,0,0,0,0,0,0,0,0,0
Jhye Clark,GEE,123900,0,0,0,0,0,0,0,0,0
Jimmy Webster,STK,362200,0,0,0,0,0,0,0,0,0
Joe Daniher,BRL,461900,57,0,0,0,0,57,57,57,57
Joe Fonti,GWS,117300,0,0,0,0,0,0,0,0,0
Joe Furphy,GEE,102400,0,0,0,0,0,0,0,0,0
Joe Richards,COLL,123900,0,0,0,0,0,0,0,0,0
Joel Amartey,SYD,315000,7,0,0,0,0,7,7,7,7
Joel Freijah,WBD,117300,0,0,0,0,0,0,0,0,0
Joel Hamling,SYD,264900,0,0,0,0,0,0,0,0,0
Joel Jeffrey,GCS,296000,0,0,0,0,0,0,0,0,0
Joel Smith,MEL,243600,0,0,0,0,0,0,0,0,0
John Noble,COLL,446900,25,0,0,0,0,25,25,25,25
Jordan Boyd,CAR,283600,87,0,0,0,0,87,87,87,87
Jordan Clark,FRE,461000,0,0,0,0,0,0,0,0,0
Jordan Croft,WBD,144300,0,0,0,0,0,0,0,0,0
Jordan Dawson,ADE,647600,0,0,0,0,0,0,0,0,0
Jordan De Goey,COLL,539900,43,0,0,0,0,43,43,43,43
Jordan Ridley,ESS,530300,0,0,0,0,0,0,0,0,0
Jordon Butts,ADE,234400,0,0,0,0,0,0,0,0,0
Jordon Sweet,PTA,158700,0,0,0,0,0,0,0,0,0
Jordyn Baker,WCE,123900,0,0,0,0,0,0,0,0,0
Josh Battle,STK,356900,0,0,0,0,0,0,0,0,0
Josh Carmichael,COLL,123900,0,0,0,0,0,0,0,0,0
Josh Corbett,FRE,145800,0,0,0,0,0,0,0,0,0
Josh Daicos,COLL,553800,109,0,0,0,0,109,109,109,109
Josh Dunkley,BRL,644000,101,0,0,0,0,101,101,101,101
Josh Fahey,GWS,136500,0,0,0,0,0,0,0,0,0
Josh Gibcus,RI,150700,76,0,0,0,0,76,76,76,76
Josh Goater,NTH,314100,0,0,0,0,0,0,0,0,0
Josh Kelly,GWS,568000,97,0,0,0,0,97,97,97,97
Josh Rachele,ADE,413300,0,0,0,0,0,0,0,0,0
Josh Rotham,WCE,257900,0,0,0,0,0,0,0,0,0
Josh Schache,MEL,123900,27,0,0,0,0,27,27,27,27
Josh Sinn,PTA,123900,0,0,0,0,0,0,0,0,0
Josh Treacy,FRE,315900,0,0,0,0,0,0,0,0,0
Josh Ward,HAW,407600,0,0,0,0,0,0,0,0,0
Josh Weddle,HAW,373800,0,0,0,0,0,0,0,0,0
Josh Worrell,ADE,416400,0,0,0,0,0,0,0,0,0
Joshua Bennetts,HAW,123900,0,0,0,0,0,0,0,0,0
Joshua Draper,FRE,123900,0,0,0,0,0,0,0,0,0
